latitude,longitude
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
-7.9578223,112.6291658
