sin_hour,stopOrder,nextStopOrder,time_diff,weekDay,Minute
6,7,8,109,2,24
6,7,8,109,2,23
5,2,3,108,2,58
6,6,7,108,3,26
6,4,5,108,3,8
5,2,3,107,4,58
6,7,8,107,3,26
6,6,7,106,3,27
6,7,8,106,5,21
6,7,8,104,6,23
6,4,5,104,4,9
6,2,3,104,2,0
6,7,8,104,2,25
6,7,8,103,6,24
6,7,8,103,5,22
6,7,8,103,2,23
6,4,5,103,5,9
6,7,8,103,4,23
6,2,3,102,2,0
6,2,3,102,2,0
6,2,3,102,4,0
6,2,3,101,3,3
6,7,8,101,5,24
6,4,5,100,6,8
5,2,3,100,5,59
6,4,5,99,4,7
5,2,3,97,3,59
6,4,5,96,6,10
6,2,3,96,4,0
5,2,3,96,2,59
5,2,3,96,3,59
6,4,5,95,3,9
5,2,3,95,2,59
6,4,5,94,2,9
5,2,3,93,3,59
6,2,3,93,6,0
6,4,5,93,6,10
5,2,3,92,2,59
6,4,5,91,5,8
6,7,8,90,5,22
5,2,3,89,6,59
5,2,3,88,5,59
5,2,3,88,5,59
7,6,7,88,1,4
5,2,3,87,4,58
5,2,3,85,6,59
6,6,7,84,3,22
5,2,3,84,6,58
5,2,3,83,5,59
5,2,3,81,3,58
6,7,8,79,7,31
6,2,3,77,2,0
6,6,7,64,3,17
6,6,7,63,3,16
